episode,gender_of_main_character,rating,season,topic_of_convo,main_character_appearances
s1 E1,2,8.1,1,1,12
s1 E2,1,7.9,1,1,12
s1 E3,2,8,1,2,11
s1 E4,1,7.9,1,2,10
s1 E5,1,8.3,1,2,8
s1 E6,1,8,1,1,6
s1 E7,1,8.9,1,2,7
s1 E8,1,7.9,1,1,10
s1 E9,2,8.1,1,1,9
s1 E10,1,7.9,1,2,10
s2 E1,2,8.4,2,2,11
s2 E2,2,8,2,1,7
s2 E3,2,8.2,2,1,7
s2 E4,2,7.8,2,2,8
s2 E5,1,8.1,2,1,11
s2 E6,1,8.4,2,1,9
s2 E7,2,8.9,2,2,6
s2 E8,1,8.4,2,2,12
s2 E9,2,7.8,2,1,7
s2 E10,2,7.8,2,2,8
s3 E1,2,8.3,3,2,9
s3 E2,1,8.9,3,1,11
s3 E3,2,7.9,3,2,7
s3 E4,1,7.9,3,2,10
s3 E5,2,8,3,1,12
s3 E6,2,9,3,2,10
s3 E7,1,8.1,3,1,11
s3 E8,1,8.2,3,2,9
s3 E9,1,8.9,3,1,1
s3 E10,2,8,3,1,10
